,product url,product title,price,reviews,rating
461,https://www.daraz.pk/products/mi-pocophone-f2-pro-display-667-quad-back-camera-645132-mp-front-camera-20-mp-ram-8gb-rom-256-gb-battery-4700-mah-i155430843-s1323726397.html?search=1,"Mi Pocophone  F2 Pro  Display 6.67""  Quad Back Camera 64+5+13+2 MP  Front Camera 20 MP  RAM 8GB  ROM 256 GB  Battery 4700 mAH","Rs. 111,999",(84), 5.0
462,https://www.daraz.pk/products/xiaomi-redmi-9c-653-inch-3-gb-ram-64-gb-rom-dual-sim-fingerprint-1-year-warranty-i166098182-s1334012522.html?search=1,Xiaomi Redmi 9C 6.53 Inch 3 GB RAM 64 GB ROM Dual Sim Fingerprint 1 Year Warranty,"Rs. 17,149",(42), 4.9
463,https://www.daraz.pk/products/infinix-note-8i-6gb-ram-128gb-rom-488mp-quad-camera-helio-g80-processor-678-hd-display-5200-mah-battery-i196548363-s1391660622.html?search=1,"Infinix NOTE 8i - 6GB RAM 128GB ROM - 48+8MP Quad Camera - Helio G80 Processor - 6.78"" HD+ Display - 5200 mAh Battery","Rs. 26,999",(34), 4.9
464,https://www.daraz.pk/products/tecno-spark-6-68-inch-4-gb-ram-64-gb-rom-dual-sim-fingerprint-1-year-warranty-i175656314-s1348644953.html?search=1,Tecno Spark 6 6.8 Inch 4 GB RAM 64 GB ROM Dual Sim Fingerprint 1 Year Warranty,"Rs. 18,878",(78), 4.6
465,https://www.daraz.pk/products/redmi-note-10-4gb128gb-643-amoled-dot-display-5000mah-battery-33w-fast-charging-1-year-official-warranty-i213320455-s1421698472.html?search=1,Redmi Note 10 ( 4GB+128GB ) - 6.43” AMOLED Dot Display - 5000mAh battery - 33W fast charging - 1 Year Official Warranty,"Rs. 31,399",(19), 4.6
466,https://www.daraz.pk/products/oppo-f17-pro-ultra-sleek-design-6-ai-portrait-cameras-8gb-ram-128gb-rom-30w-vooc-flash-charge-40-i178952676-s1356422316.html?search=1,OPPO F17 PRO Ultra Sleek Design 6 AI Portrait Cameras 8GB RAM 128GB ROM 30W VOOC Flash Charge 4.0,"Rs. 47,999",(63), 4.9
467,https://www.daraz.pk/products/redmi-9c-display-653-tripple-camera-1352-front-camera-5-mp-ram-3gb-rom-64gb-battery-5000-mah-i177688985-s1383694794.html?search=1,"Redmi 9C Display 6.53"" Tripple Camera 13+5+2 Front Camera 5 MP RAM 3GB - ROM 64GB - Battery 5000 mAh","Rs. 17,300",(83), 4.7
468,https://www.daraz.pk/products/infinix-zero-8i-8gb-ram-128gb-rom-4816mp-ultra-night-camera-helio-g90t-processor-685-fhd-display-4500-mah-battery-i178186266-s1355140559.html?search=1,"Infinix ZERO 8i - 8GB RAM 128GB ROM - 48+16MP Ultra Night Camera - Helio G90T Processor - 6.85"" FHD+ Display - 4500 mAh Battery","Rs. 34,999",(61), 4.5
469,https://www.daraz.pk/products/oppo-a15-al-triple-camera-sleek-and-thinner-curved-body-3gb-ram-32gb-rom-with-4230mah-fast-battery-i209998454-s1416698764.html?search=1,"OPPO A15 Al Triple Camera, Sleek And Thinner Curved Body, 3GB Ram  32GB ROM With 4230mAh Fast Battery","Rs. 20,999",(22), 4.9
470,https://www.daraz.pk/products/infinix-smart-5-3gb-ram-64gb-rom-13mp-ai-triple-camera-66-hd-display-5000-mah-battery-i190394141-s1381254999.html?search=1,"Infinix SMART 5 - 3GB RAM 64GB ROM - 13MP Ai Triple Camera - 6.6"" HD+ Display - 5000 mAh Battery","Rs. 16,999",(65), 4.8
